"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"13-FEB-2017 09:30","39",0.000,0.000,89.581,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","390",0.000,0.000,76.226,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","391",0.000,0.000,76.226,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","392",35.250,0.000,77.134,1359.492,0.000,0.000,0.000
"13-FEB-2017 09:30","393",35.250,0.000,77.134,1359.492,0.000,0.000,0.000
"13-FEB-2017 09:30","394",35.250,0.000,77.134,1359.492,0.000,0.000,0.000
"13-FEB-2017 09:30","395",35.250,0.000,77.134,1359.492,0.000,0.000,0.000
"13-FEB-2017 09:30","396",0.000,4.241,77.365,0.000,164.053,0.000,0.000
"13-FEB-2017 09:30","397",0.000,0.000,77.134,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","398",0.000,-0.001,79.143,0.000,-0.020,0.000,0.000
"13-FEB-2017 09:30","399",0.000,-0.001,79.135,0.000,-0.020,0.000,0.000
"13-FEB-2017 09:30","4",0.000,90.853,84.611,0.000,3843.593,0.000,0.000
"13-FEB-2017 09:30","400",0.000,0.000,79.075,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","401",0.000,32.465,77.232,0.000,1253.662,0.000,0.000
"13-FEB-2017 09:30","402",0.000,-0.001,76.911,0.000,-0.019,0.000,0.000
"13-FEB-2017 09:30","403",0.000,-0.001,76.899,0.000,-0.019,0.000,0.000
"13-FEB-2017 09:30","404",0.000,0.000,76.853,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","405",0.000,0.000,75.421,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","406",0.000,0.000,75.421,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","407",0.000,-118.272,75.421,0.000,-4460.097,0.000,0.000
"13-FEB-2017 09:30","408",0.000,0.000,75.650,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","409",0.000,0.000,76.097,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","41",0.000,77.132,84.423,0.000,3255.875,0.000,0.000
"13-FEB-2017 09:30","410",0.000,1.603,76.416,0.000,61.247,0.000,0.000
"13-FEB-2017 09:30","411",0.000,-25.059,76.226,0.000,-955.073,0.000,0.000
"13-FEB-2017 09:30","412",0.000,19.498,78.989,0.000,770.067,0.000,0.000
"13-FEB-2017 09:30","413",0.000,0.000,78.697,0.000,0.000,0.000,0.000
